ko	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24
K02494	23.0	21.0	17.0	51.0	22.0	16.0	1.0	60.0	96.0	39.0	72.0	14.0	73.0	12.0	47.0	46.0	59.0	52.0	65.0	30.0		11.0	35.0	39.0	87.0
K02503	35.0	42.0	33.0	42.0	38.0	35.0	36.0	29.0	43.0	41.0	52.0	41.0	48.0	22.0	25.0	70.0	30.0	35.0	49.0	43.0	36.0	25.0	30.0	36.0	48.0
K02518	713.0	872.0	320.0	422.0	772.0	405.0	910.0	472.0	542.0	739.0	529.0	358.0	428.0	277.0	437.0	562.0	414.0	548.0	471.0	348.0	294.0	314.0	489.0	617.0	534.0
K02520	1293.0	1567.0	571.0	808.0	1470.0	945.0	1682.0	755.0	1036.0	1345.0	1243.0	667.0	923.0	590.0	757.0	1656.0	719.0	1175.0	1254.0	844.0	715.0	575.0	871.0	1176.0	1113.0
K02527	557.0	734.0	60.0	183.0	710.0	198.0	922.0	237.0	315.0	597.0	226.0	105.0	195.0	36.0	202.0	154.0	236.0	352.0	179.0	69.0	12.0	37.0	236.0	455.0	259.0
K02556	341.0	438.0	52.0	144.0	408.0	136.0	522.0	189.0	243.0	343.0	149.0	75.0	129.0	28.0	143.0	109.0	199.0	248.0	135.0	62.0	7.0	25.0	135.0	303.0	168.0
K02568	14.0	6.0	111.0	173.0	28.0	77.0		541.0	200.0	22.0	14.0	93.0	83.0	5.0	250.0	5.0	417.0	155.0	33.0	61.0	16.0	44.0	102.0	297.0	
K02570	2.0		11.0	10.0	4.0	4.0		46.0	8.0	5.0	1.0	7.0	3.0		16.0		42.0	17.0	1.0	8.0		2.0	7.0	23.0	
K02571	8.0	2.0	52.0	97.0	7.0	44.0		253.0	92.0	12.0	10.0	41.0	37.0	1.0	139.0	1.0	223.0	83.0	17.0	37.0	4.0	11.0	36.0	139.0	1.0
K02595	14.0		47.0	19.0	2.0	41.0	1.0	1.0		9.0	1.0	63.0	18.0	69.0	40.0	1.0	5.0	4.0	6.0	41.0	98.0	76.0	38.0	5.0	1.0
K02596	6.0		5.0	2.0	1.0	3.0				1.0	1.0	6.0		5.0	4.0		1.0			5.0	13.0	10.0	5.0	2.0	1.0
K02597	24.0	6.0	134.0	52.0	2.0	102.0	4.0	2.0	4.0	21.0	8.0	148.0	36.0	160.0	77.0	3.0	6.0	6.0	6.0	118.0	183.0	169.0	95.0	8.0	8.0
K02600	2583.0	2929.0	965.0	1476.0	2866.0	1434.0	3290.0	1373.0	1799.0	2479.0	2094.0	1119.0	1682.0	872.0	1309.0	2577.0	1400.0	2049.0	1957.0	1370.0	996.0	993.0	1518.0	2086.0	2093.0
K02601	34.0	43.0	3.0	16.0	31.0	8.0	47.0	3.0	16.0	33.0	11.0	9.0	9.0	3.0	9.0	9.0	6.0	21.0	11.0	4.0		1.0	16.0	31.0	24.0
K02636	6.0	8.0	20.0	5.0	1.0	33.0	1.0	4.0	3.0	4.0	20.0	29.0	23.0	22.0	17.0	70.0	1.0	8.0	36.0	39.0	30.0	26.0	17.0	11.0	11.0
K02638	2.0	5.0	7.0	6.0		5.0	1.0	7.0	2.0	2.0	28.0	3.0	11.0	1.0	3.0	72.0	1.0	4.0	38.0	17.0	7.0	8.0	12.0	4.0	11.0
K02639	18.0	8.0	77.0	37.0	5.0	62.0		16.0	6.0	14.0	30.0	67.0	39.0	93.0	41.0	94.0	4.0	9.0	40.0	79.0	105.0	85.0	61.0	10.0	30.0
K02640	21.0	15.0	68.0	36.0	5.0	61.0	1.0	25.0	15.0	19.0	67.0	78.0	50.0	80.0	53.0	149.0	4.0	19.0	93.0	97.0	103.0	75.0	54.0	16.0	52.0
K02642	10.0	1.0	51.0	18.0	6.0	45.0			2.0	13.0	3.0	65.0	11.0	70.0	35.0	1.0	2.0	2.0	2.0	38.0	58.0	58.0	25.0	6.0	5.0
K02643	21.0	14.0	71.0	44.0	5.0	86.0	1.0	21.0	22.0	18.0	87.0	81.0	69.0	94.0	48.0	206.0	7.0	24.0	117.0	117.0	113.0	87.0	64.0	26.0	45.0
K02650	16.0	12.0	9.0	33.0	24.0	7.0		14.0	38.0	15.0	35.0	7.0	42.0	10.0	10.0	33.0	30.0	44.0	41.0	8.0	1.0	6.0	21.0	8.0	53.0
K02651	55.0	72.0		1.0	61.0	27.0	94.0	5.0	12.0	50.0	6.0	7.0		1.0	7.0	2.0	1.0	22.0	2.0	1.0			20.0	39.0	11.0
K02656	3.0	6.0	3.0	8.0	8.0	1.0		8.0	12.0	10.0	12.0	2.0	10.0	2.0	2.0	6.0	12.0	13.0	16.0	4.0		1.0	6.0	5.0	13.0
K02664	10.0	11.0	14.0	45.0	16.0	16.0		39.0	36.0	17.0	51.0	6.0	43.0	11.0	17.0	35.0	42.0	29.0	51.0	22.0	2.0	11.0	19.0	20.0	67.0
K02665	1.0		1.0	1.0				1.0			1.0				2.0		2.0		1.0	1.0				1.0	
K02671	14.0	14.0	18.0	41.0	12.0	14.0		38.0	50.0	14.0	32.0	8.0	42.0	10.0	15.0	26.0	39.0	37.0	48.0	18.0		4.0	21.0	24.0	54.0
K02672	7.0	5.0	8.0	13.0	5.0	2.0		14.0	18.0	7.0	11.0	3.0	16.0	1.0	2.0	5.0	16.0	21.0	13.0	7.0		2.0	5.0	5.0	13.0
K02673	6.0	9.0	9.0	19.0	11.0	5.0	1.0	2.0	24.0	19.0	32.0	1.0	38.0	6.0	3.0	13.0	15.0	26.0	29.0	6.0		4.0	16.0	4.0	43.0
K02674	7.0	7.0	4.0	13.0	6.0	6.0		6.0	24.0	8.0	21.0	3.0	28.0	4.0	5.0	15.0	18.0	25.0	23.0	5.0	1.0	2.0	10.0	7.0	23.0
K02676	2.0		2.0	3.0	2.0	5.0		31.0	13.0	1.0		3.0	7.0		13.0		17.0	9.0	2.0	4.0	3.0	3.0	5.0	14.0	
K02686	2.0		21.0	33.0	9.0	10.0		109.0	43.0	5.0		19.0	16.0	1.0	55.0		91.0	29.0	6.0	16.0	6.0	8.0	25.0	55.0	1.0
K02687	78.0	96.0	26.0	47.0	107.0	36.0	113.0	47.0	66.0	61.0	84.0	27.0	54.0	18.0	43.0	81.0	59.0	72.0	66.0	24.0	16.0	17.0	46.0	63.0	68.0
K02691	3.0		5.0	4.0		12.0		1.0	1.0	2.0	14.0	6.0	5.0	12.0	2.0	28.0		6.0	18.0	9.0	11.0	9.0	11.0		2.0
K02692	9.0	6.0	32.0	17.0	1.0	32.0		14.0	9.0	5.0	37.0	29.0	17.0	29.0	16.0	69.0	3.0	10.0	29.0	42.0	55.0	46.0	24.0	9.0	15.0
K02693	29.0	20.0	112.0	57.0	4.0	103.0	5.0	36.0	22.0	20.0	113.0	102.0	80.0	109.0	57.0	238.0	11.0	41.0	138.0	119.0	135.0	114.0	71.0	31.0	63.0
K02694	4.0		9.0	5.0		9.0				1.0	2.0	10.0		10.0	9.0	1.0		1.0	5.0	11.0	8.0	18.0	8.0		3.0
K02696	33.0	30.0	96.0	71.0	9.0	88.0	5.0	38.0	23.0	15.0	136.0	103.0	68.0	88.0	61.0	319.0	6.0	47.0	186.0	102.0	166.0	135.0	80.0	34.0	100.0
K02697	24.0	28.0	83.0	61.0	3.0	79.0	2.0	32.0	19.0	18.0	100.0	62.0	48.0	76.0	59.0	253.0	11.0	34.0	140.0	116.0	147.0	114.0	64.0	35.0	58.0
K02698	32.0	12.0	130.0	43.0	5.0	109.0	1.0	6.0	5.0	24.0	34.0	127.0	40.0	155.0	73.0	58.0	7.0	11.0	37.0	106.0	128.0	136.0	77.0	15.0	20.0
K02700	21.0	25.0	60.0	44.0	1.0	72.0	1.0	29.0	11.0	14.0	97.0	80.0	54.0	91.0	38.0	227.0	7.0	18.0	141.0	91.0	113.0	86.0	49.0	25.0	62.0
K02707	29.0	26.0	125.0	76.0	8.0	126.0	6.0	36.0	19.0	29.0	112.0	145.0	91.0	155.0	90.0	279.0	13.0	32.0	149.0	177.0	166.0	147.0	86.0	42.0	59.0
K02708	19.0	50.0	108.0	65.0	6.0	136.0	2.0	72.0	35.0	23.0	207.0	103.0	137.0	124.0	66.0	574.0	15.0	51.0	292.0	182.0	189.0	128.0	85.0	63.0	126.0
K02709	2.0		10.0	2.0		8.0	1.0			4.0		10.0	2.0	8.0	8.0					9.0	9.0	9.0	6.0	1.0	
K02710	5.0	10.0	37.0	22.0	3.0	54.0		26.0	7.0	17.0	60.0	37.0	39.0	39.0	23.0	161.0	5.0	12.0	81.0	55.0	47.0	47.0	24.0	20.0	28.0
K02711	22.0	35.0	89.0	52.0	10.0	112.0	1.0	48.0	28.0	29.0	146.0	109.0	76.0	112.0	71.0	350.0	14.0	47.0	184.0	184.0	171.0	97.0	72.0	48.0	80.0
K02712	12.0	13.0	52.0	21.0	4.0	60.0	2.0	8.0	19.0	14.0	53.0	49.0	32.0	70.0	41.0	127.0	2.0	14.0	63.0	64.0	85.0	67.0	57.0	16.0	47.0
K02713	9.0	9.0	61.0	24.0	5.0	57.0		22.0	8.0	13.0	47.0	50.0	31.0	71.0	42.0	120.0	5.0	7.0	69.0	59.0	67.0	71.0	29.0	20.0	29.0
K02714	14.0	30.0	43.0	34.0	8.0	73.0	3.0	38.0	20.0	19.0	116.0	37.0	70.0	44.0	37.0	238.0	11.0	33.0	137.0	90.0	79.0	60.0	46.0	29.0	67.0
K02715	16.0	19.0	97.0	46.0	7.0	78.0	3.0	20.0	8.0	22.0	52.0	89.0	45.0	118.0	51.0	143.0	5.0	24.0	81.0	95.0	105.0	102.0	66.0	14.0	42.0
K02716	4.0	1.0	16.0	9.0		10.0				2.0		10.0	1.0	21.0	9.0	3.0			2.0	10.0	9.0	7.0	10.0		1.0
K02717	14.0	7.0	50.0	21.0	3.0	51.0	1.0	6.0	5.0	11.0	18.0	49.0	23.0	57.0	38.0	56.0	2.0	8.0	32.0	50.0	69.0	62.0	31.0	11.0	22.0
K02718	12.0	22.0	62.0	39.0	4.0	81.0	2.0	18.0	11.0	11.0	44.0	68.0	56.0	75.0	55.0	133.0	9.0	31.0	89.0	84.0	122.0	89.0	53.0	15.0	52.0
K02719	2.0		12.0	6.0		10.0					1.0	15.0	3.0	12.0	6.0		2.0		1.0	8.0	11.0	16.0	7.0		2.0
K02720	1.0		15.0	5.0		13.0	2.0				1.0	14.0	3.0	9.0	7.0		1.0		2.0	7.0	16.0	18.0	7.0		1.0
K02722	12.0	26.0	44.0	29.0	2.0	63.0	1.0	20.0	18.0	17.0	63.0	61.0	53.0	72.0	46.0	194.0	5.0	21.0	93.0	84.0	96.0	63.0	56.0	28.0	47.0
K02723	22.0	22.0	120.0	61.0	9.0	119.0	1.0	48.0	23.0	41.0	158.0	103.0	90.0	134.0	101.0	293.0	9.0	40.0	176.0	158.0	171.0	153.0	96.0	23.0	78.0
K02724	20.0	1.0	62.0	29.0		48.0	2.0	11.0	2.0	10.0	26.0	60.0	20.0	69.0	43.0	43.0	2.0	6.0	22.0	58.0	76.0	67.0	37.0	7.0	13.0
K02742	26.0	18.0	11.0	66.0	35.0	17.0	1.0	4.0	66.0	28.0	99.0	4.0	84.0	22.0		57.0	43.0	65.0	86.0	26.0		10.0	37.0	12.0	102.0
K02825	5.0	7.0	51.0	25.0	7.0	45.0	1.0	16.0	4.0	11.0	40.0	47.0	33.0	52.0	41.0	116.0	4.0	14.0	61.0	60.0	69.0	58.0	31.0	18.0	27.0
K02834	947.0	1084.0	525.0	634.0	1061.0	740.0	1107.0	745.0	783.0	894.0	905.0	518.0	723.0	492.0	649.0	1196.0	645.0	780.0	920.0	618.0	476.0	488.0	651.0	819.0	813.0
K02838	1640.0	1879.0	791.0	975.0	1859.0	1100.0	2093.0	1111.0	1268.0	1679.0	1587.0	859.0	1250.0	757.0	1012.0	1987.0	998.0	1348.0	1470.0	982.0	829.0	736.0	1091.0	1493.0	1415.0
K02860	513.0	634.0	274.0	347.0	552.0	399.0	733.0	437.0	441.0	516.0	493.0	298.0	436.0	264.0	350.0	604.0	401.0	454.0	583.0	406.0	269.0	300.0	376.0	515.0	450.0
K02863	182.0	170.0	102.0	104.0	175.0	133.0	209.0	123.0	137.0	162.0	166.0	74.0	137.0	70.0	111.0	228.0	111.0	140.0	199.0	116.0	84.0	78.0	113.0	147.0	155.0
K02864	267.0	379.0	118.0	106.0	311.0	182.0	351.0	120.0	138.0	265.0	189.0	112.0	166.0	116.0	146.0	251.0	120.0	208.0	203.0	152.0	143.0	124.0	160.0	210.0	189.0
K02867	596.0	707.0	249.0	372.0	631.0	397.0	720.0	423.0	500.0	601.0	569.0	298.0	449.0	239.0	335.0	772.0	388.0	506.0	597.0	411.0	284.0	252.0	391.0	537.0	573.0
K02871	480.0	515.0	200.0	309.0	442.0	347.0	529.0	282.0	403.0	482.0	491.0	240.0	393.0	241.0	273.0	680.0	273.0	424.0	518.0	319.0	254.0	210.0	306.0	352.0	480.0
K02874	94.0	116.0	39.0	71.0	106.0	60.0	120.0	74.0	63.0	93.0	95.0	46.0	69.0	57.0	63.0	128.0	66.0	93.0	90.0	61.0	49.0	43.0	65.0	94.0	85.0
K02876	481.0	586.0	196.0	334.0	578.0	302.0	651.0	382.0	401.0	495.0	411.0	230.0	350.0	177.0	308.0	539.0	347.0	404.0	452.0	273.0	198.0	185.0	320.0	440.0	386.0
K02878	183.0	229.0	94.0	132.0	180.0	152.0	243.0	127.0	131.0	190.0	166.0	103.0	133.0	92.0	108.0	293.0	86.0	148.0	172.0	124.0	127.0	113.0	125.0	148.0	136.0
K02879	1235.0	1465.0	494.0	709.0	1329.0	837.0	1524.0	837.0	973.0	1194.0	1122.0	587.0	910.0	501.0	753.0	1567.0	827.0	1083.0	1180.0	734.0	581.0	532.0	808.0	1051.0	1063.0
K02881	438.0	503.0	307.0	317.0	498.0	340.0	551.0	276.0	308.0	421.0	500.0	296.0	368.0	292.0	316.0	722.0	257.0	414.0	500.0	358.0	331.0	324.0	351.0	385.0	447.0
K02884	1103.0	1292.0	504.0	659.0	1327.0	709.0	1440.0	685.0	872.0	1176.0	940.0	540.0	766.0	446.0	668.0	1160.0	696.0	933.0	1001.0	639.0	502.0	486.0	722.0	953.0	892.0
K02887	1035.0	1260.0	440.0	587.0	1178.0	656.0	1380.0	630.0	781.0	1135.0	856.0	526.0	695.0	425.0	579.0	1166.0	618.0	855.0	903.0	574.0	431.0	414.0	624.0	865.0	871.0
K02888	1044.0	1370.0	443.0	609.0	1256.0	706.0	1434.0	700.0	852.0	1064.0	918.0	538.0	770.0	416.0	670.0	1311.0	681.0	866.0	960.0	657.0	473.0	475.0	686.0	955.0	893.0
K02890	114.0	141.0	43.0	59.0	104.0	84.0	135.0	73.0	58.0	95.0	111.0	78.0	80.0	60.0	76.0	109.0	58.0	87.0	105.0	59.0	47.0	43.0	70.0	98.0	88.0
K02892	62.0	82.0	51.0	103.0	91.0	44.0	64.0	128.0	117.0	84.0	112.0	45.0	119.0	33.0	66.0	81.0	93.0	102.0	115.0	53.0	28.0	33.0	72.0	94.0	126.0
K02895	82.0	96.0	42.0	58.0	77.0	67.0	81.0	58.0	72.0	60.0	79.0	36.0	80.0	41.0	52.0	135.0	58.0	79.0	100.0	62.0	46.0	50.0	54.0	74.0	77.0
K02897	1112.0	1305.0	253.0	587.0	1336.0	452.0	1566.0	650.0	915.0	1178.0	742.0	303.0	690.0	186.0	486.0	348.0	780.0	910.0	602.0	280.0	68.0	152.0	548.0	892.0	877.0
K02899	796.0	948.0	385.0	585.0	928.0	590.0	1096.0	572.0	716.0	860.0	849.0	463.0	634.0	416.0	549.0	1086.0	576.0	705.0	800.0	578.0	464.0	456.0	578.0	760.0	726.0
K02902	651.0	832.0	311.0	477.0	826.0	478.0	928.0	490.0	466.0	729.0	639.0	391.0	469.0	301.0	436.0	784.0	422.0	620.0	629.0	407.0	335.0	305.0	431.0	621.0	539.0
K02904	204.0	169.0	53.0	83.0	211.0	81.0	229.0	92.0	145.0	175.0	105.0	53.0	115.0	36.0	75.0	71.0	115.0	110.0	83.0	73.0	22.0	38.0	91.0	147.0	116.0
K02906	101.0	91.0	36.0	47.0	111.0	52.0	118.0	58.0	95.0	88.0	55.0	38.0	57.0	29.0	45.0	37.0	71.0	81.0	61.0	37.0	25.0	31.0	54.0	76.0	70.0
K02907	364.0	446.0	68.0	174.0	474.0	133.0	492.0	242.0	278.0	376.0	193.0	88.0	195.0	30.0	154.0	122.0	248.0	316.0	170.0	73.0	9.0	29.0	174.0	320.0	248.0
K02909	839.0	895.0	335.0	422.0	917.0	492.0	944.0	498.0	551.0	781.0	671.0	409.0	478.0	374.0	462.0	994.0	419.0	540.0	779.0	486.0	376.0	355.0	505.0	641.0	616.0
K02911	474.0	564.0	142.0	236.0	584.0	240.0	693.0	292.0	335.0	439.0	277.0	167.0	224.0	129.0	225.0	309.0	234.0	339.0	278.0	178.0	138.0	109.0	266.0	388.0	299.0
K02913	469.0	585.0	184.0	298.0	581.0	259.0	688.0	331.0	420.0	530.0	380.0	204.0	342.0	151.0	268.0	276.0	370.0	462.0	316.0	202.0	128.0	161.0	301.0	456.0	380.0
K02914	515.0	546.0	138.0	248.0	563.0	211.0	661.0	308.0	375.0	509.0	331.0	167.0	278.0	100.0	228.0	258.0	301.0	361.0	296.0	175.0	74.0	99.0	260.0	397.0	397.0
K02916	563.0	731.0	295.0	396.0	689.0	374.0	778.0	369.0	466.0	610.0	555.0	319.0	402.0	258.0	342.0	645.0	398.0	447.0	543.0	355.0	261.0	245.0	351.0	545.0	494.0
K02919	401.0	495.0	115.0	160.0	450.0	219.0	529.0	143.0	243.0	360.0	273.0	155.0	201.0	103.0	159.0	319.0	116.0	274.0	264.0	183.0	126.0	119.0	179.0	296.0	287.0
K02926	119.0	143.0	84.0	107.0	143.0	123.0	142.0	102.0	97.0	118.0	156.0	87.0	129.0	97.0	115.0	237.0	87.0	107.0	163.0	142.0	131.0	102.0	120.0	107.0	137.0
K02931	158.0	190.0	84.0	130.0	177.0	113.0	201.0	100.0	145.0	175.0	160.0	73.0	134.0	81.0	99.0	214.0	89.0	124.0	154.0	116.0	75.0	78.0	106.0	154.0	140.0
K02933	88.0	116.0	34.0	40.0	108.0	52.0	134.0	48.0	63.0	80.0	72.0	36.0	58.0	24.0	39.0	73.0	55.0	67.0	53.0	38.0	35.0	23.0	60.0	67.0	81.0
K02935	1103.0	1221.0	563.0	672.0	1269.0	749.0	1300.0	623.0	764.0	1092.0	1095.0	548.0	796.0	509.0	661.0	1552.0	602.0	940.0	1114.0	750.0	632.0	564.0	748.0	992.0	922.0
K02939	254.0	269.0	80.0	131.0	278.0	135.0	311.0	133.0	171.0	241.0	170.0	90.0	155.0	87.0	124.0	129.0	160.0	165.0	160.0	109.0	54.0	85.0	143.0	193.0	187.0
K02945	13.0	9.0	2.0	2.0	13.0	1.0	5.0	7.0	5.0	10.0	4.0				1.0		5.0	9.0	2.0	1.0			3.0	8.0	1.0
K02946	277.0	338.0	102.0	189.0	367.0	167.0	338.0	202.0	244.0	270.0	277.0	99.0	218.0	82.0	147.0	312.0	217.0	262.0	269.0	148.0	90.0	102.0	164.0	245.0	253.0
K02948	70.0	90.0	30.0	50.0	77.0	43.0	91.0	56.0	50.0	56.0	58.0	43.0	58.0	27.0	31.0	90.0	45.0	57.0	61.0	50.0	37.0	30.0	38.0	60.0	61.0
K02950	555.0	675.0	296.0	394.0	631.0	387.0	706.0	400.0	419.0	599.0	521.0	328.0	388.0	274.0	347.0	657.0	339.0	483.0	512.0	340.0	279.0	251.0	392.0	509.0	455.0
K02952	53.0	51.0	10.0	13.0	49.0	14.0	54.0	6.0	30.0	46.0	15.0	15.0	16.0	7.0	13.0	9.0	18.0	25.0	17.0	10.0	13.0	7.0	19.0	38.0	21.0
K02954	762.0	940.0	327.0	520.0	867.0	498.0	1028.0	609.0	596.0	777.0	715.0	356.0	562.0	303.0	446.0	909.0	616.0	713.0	738.0	430.0	275.0	296.0	502.0	729.0	617.0
K02956	793.0	1018.0	434.0	480.0	945.0	580.0	1137.0	573.0	612.0	816.0	713.0	439.0	606.0	378.0	494.0	989.0	542.0	689.0	775.0	565.0	405.0	397.0	561.0	815.0	691.0
K02959	740.0	909.0	318.0	443.0	948.0	458.0	1075.0	570.0	587.0	814.0	631.0	392.0	546.0	286.0	476.0	832.0	550.0	678.0	659.0	438.0	310.0	333.0	489.0	737.0	634.0
K02961	78.0	66.0	33.0	53.0	82.0	49.0	84.0	45.0	54.0	65.0	91.0	33.0	60.0	40.0	40.0	101.0	49.0	45.0	94.0	53.0	27.0	32.0	67.0	59.0	74.0
K02963	45.0	63.0	22.0	42.0	59.0	48.0	82.0	30.0	50.0	55.0	69.0	32.0	45.0	25.0	30.0	110.0	30.0	39.0	80.0	32.0	34.0	22.0	42.0	44.0	49.0
K02965	71.0	85.0	41.0	53.0	70.0	53.0	107.0	60.0	59.0	77.0	60.0	42.0	66.0	26.0	42.0	124.0	48.0	83.0	100.0	45.0	35.0	36.0	69.0	75.0	84.0
K02967	4.0	7.0		4.0	4.0	3.0	4.0		6.0	9.0	2.0		1.0		3.0	2.0	1.0	3.0	3.0	2.0	1.0	2.0	1.0	1.0	4.0
K02968	738.0	891.0	378.0	458.0	864.0	520.0	934.0	552.0	665.0	773.0	735.0	434.0	582.0	341.0	473.0	851.0	519.0	656.0	737.0	484.0	330.0	398.0	542.0	710.0	668.0
K02970	592.0	681.0	316.0	338.0	633.0	358.0	720.0	346.0	442.0	591.0	458.0	335.0	421.0	295.0	332.0	540.0	384.0	491.0	487.0	331.0	274.0	293.0	379.0	496.0	472.0
K02982	120.0	164.0	51.0	85.0	127.0	64.0	163.0	78.0	100.0	104.0	102.0	47.0	89.0	39.0	65.0	128.0	77.0	108.0	97.0	62.0	31.0	38.0	65.0	116.0	111.0
K02986	511.0	616.0	228.0	351.0	583.0	336.0	644.0	317.0	424.0	535.0	473.0	253.0	394.0	206.0	279.0	465.0	322.0	482.0	420.0	295.0	225.0	199.0	324.0	453.0	458.0
K02988	1.0		1.0	2.0					5.0	1.0	1.0		3.0			1.0	4.0		2.0				2.0		3.0
K02990	829.0	1029.0	430.0	602.0	965.0	600.0	1040.0	604.0	729.0	818.0	827.0	436.0	699.0	407.0	538.0	1198.0	555.0	738.0	914.0	604.0	429.0	390.0	612.0	823.0	817.0
K02992	42.0	54.0	34.0	34.0	53.0	44.0	49.0	67.0	36.0	39.0	64.0	34.0	39.0	30.0	33.0	66.0	62.0	48.0	64.0	34.0	22.0	23.0	36.0	49.0	54.0
K02994	68.0	85.0	37.0	49.0	86.0	44.0	96.0	47.0	56.0	81.0	86.0	43.0	50.0	31.0	50.0	115.0	49.0	57.0	64.0	40.0	33.0	38.0	39.0	68.0	69.0
K02996	83.0	87.0	9.0	27.0	74.0	24.0	87.0	30.0	45.0	86.0	39.0	23.0	37.0	17.0	27.0	19.0	25.0	41.0	18.0	17.0	9.0	11.0	27.0	52.0	40.0
K03060	627.0	753.0	136.0	350.0	810.0	249.0	884.0	439.0	577.0	652.0	421.0	158.0	370.0	73.0	282.0	245.0	455.0	585.0	329.0	185.0	27.0	65.0	306.0	566.0	505.0
K03071	1137.0	1429.0	241.0	595.0	1437.0	464.0	1619.0	747.0	961.0	1262.0	743.0	307.0	709.0	143.0	517.0	450.0	828.0	1000.0	588.0	315.0	21.0	110.0	591.0	947.0	866.0
K03073	505.0	586.0	215.0	256.0	565.0	332.0	649.0	286.0	356.0	464.0	402.0	229.0	309.0	204.0	285.0	498.0	321.0	402.0	414.0	283.0	201.0	210.0	317.0	411.0	370.0
K03075	793.0	1000.0	297.0	427.0	902.0	425.0	1071.0	437.0	608.0	793.0	541.0	301.0	430.0	255.0	390.0	562.0	459.0	614.0	498.0	360.0	198.0	209.0	446.0	709.0	584.0
K03088	33.0	34.0	37.0	58.0	35.0	24.0	28.0	80.0	66.0	48.0	58.0	19.0	51.0	13.0	35.0	29.0	64.0	64.0	59.0	25.0	9.0	17.0	50.0	62.0	53.0
K03092	1482.0	1689.0	304.0	877.0	1654.0	553.0	1917.0	1005.0	1289.0	1452.0	1063.0	383.0	924.0	163.0	664.0	522.0	1098.0	1264.0	828.0	394.0	20.0	117.0	727.0	1197.0	1161.0
K03100	2.0	7.0	4.0	4.0	5.0	2.0	6.0	5.0		9.0	2.0	7.0	1.0	13.0	7.0	1.0	1.0	1.0	1.0	4.0	11.0	6.0	4.0	5.0	1.0
K03101	1093.0	1325.0	486.0	691.0	1233.0	697.0	1391.0	748.0	910.0	1213.0	942.0	500.0	802.0	423.0	641.0	925.0	731.0	944.0	902.0	611.0	429.0	414.0	688.0	863.0	827.0
K03111	1330.0	1663.0	415.0	699.0	1606.0	733.0	1827.0	766.0	993.0	1330.0	964.0	484.0	732.0	348.0	640.0	1153.0	683.0	990.0	966.0	565.0	360.0	405.0	768.0	1104.0	988.0
K03113	12.0	4.0	23.0	24.0	10.0	12.0		22.0	17.0	7.0	21.0	19.0	22.0	18.0	15.0	10.0	23.0	15.0	16.0	14.0	16.0	16.0	17.0	17.0	17.0
K03116	186.0	211.0	130.0	152.0	192.0	150.0	199.0	174.0	156.0	183.0	166.0	143.0	139.0	104.0	159.0	283.0	171.0	164.0	197.0	160.0	148.0	144.0	166.0	188.0	139.0
K03117	50.0	66.0	9.0	30.0	62.0	20.0	70.0	41.0	31.0	53.0	34.0	14.0	21.0	2.0	26.0	8.0	30.0	50.0	15.0	13.0	3.0	3.0	21.0	48.0	37.0
K03118	1766.0	1996.0	905.0	1367.0	1999.0	1267.0	2076.0	2073.0	1713.0	1648.0	1442.0	1039.0	1357.0	680.0	1361.0	1925.0	1882.0	1658.0	1588.0	1130.0	793.0	818.0	1304.0	1941.0	1448.0
K03149	3.0	3.0	4.0	11.0	2.0	7.0	4.0	2.0	9.0	4.0	15.0	11.0	8.0	16.0	8.0	18.0	1.0	8.0	8.0	6.0	14.0	12.0	7.0	5.0	7.0
K03154	315.0	458.0	93.0	76.0	412.0	188.0	489.0	54.0	122.0	313.0	125.0	141.0	68.0	140.0	123.0	159.0	44.0	173.0	106.0	124.0	120.0	147.0	149.0	203.0	117.0
K03181	200.0	248.0	40.0	157.0	236.0	92.0	284.0	218.0	205.0	210.0	131.0	60.0	131.0	26.0	134.0	75.0	220.0	191.0	123.0	80.0	6.0	26.0	117.0	220.0	146.0
K03186	13.0	21.0	17.0	39.0	31.0	35.0	1.0	63.0	76.0	25.0	106.0	13.0	73.0	14.0	36.0	115.0	68.0	69.0	98.0	46.0	9.0	15.0	51.0	46.0	96.0
K03190	13.0	1.0	13.0	15.0		21.0			1.0	6.0		34.0	12.0	39.0	30.0		1.0	2.0	1.0	24.0	50.0	45.0	21.0	4.0	4.0
K03192	5.0		20.0	6.0	1.0	12.0		2.0	4.0	5.0	1.0	16.0	6.0	19.0	8.0	1.0	1.0		3.0	20.0	21.0	22.0	13.0	3.0	7.0
K03210	574.0	669.0	83.0	258.0	741.0	194.0	875.0	303.0	400.0	625.0	337.0	132.0	237.0	46.0	227.0	149.0	348.0	433.0	236.0	121.0	13.0	41.0	235.0	475.0	354.0
K03216	56.0	59.0	43.0	60.0	80.0	53.0	60.0	77.0	61.0	57.0	65.0	50.0	84.0	43.0	61.0	81.0	78.0	47.0	62.0	51.0	43.0	38.0	62.0	84.0	78.0
K03217	49.0	61.0	12.0	29.0	49.0	30.0	54.0	31.0	45.0	67.0	37.0	13.0	50.0	8.0	18.0	18.0	42.0	48.0	44.0	18.0	3.0	7.0	24.0	45.0	39.0
